,2,1981
,4,3937
,8,2750
,16,3089
,32,5352
,64,3729
,128,5277
,256,13352
,512,27191
,1024,57300
,2048,120047
,4096,263008
,8192,529100
,16384,1099489
,32768,2224343
,65536,4603056
,131072,9331681
,262144,19449510
,524288,39379637
,1048576,81660520
