Algorithm,Array Size,Execution Times,Average Time
MSIP,88587,1507708000;1559055600;1635910600;1593248200;1774578200;1914012800;1779454600;1602728400;1557783600;1554940800,1632212500
MSRS,143845,21059600;21316600;19454200;20503000;23288100;19790000;20032300;19520900;23271900;22252900,20968400
MSIS,143845,13056000;11987400;12310200;12061600;11976800;15367700;12521500;12419100;11682700;11710000,12255325
MSRP,143845,8897200;8486100;7721400;7502400;5841500;8466300;6227000;7888900;8132100;8497000,7865150
MSIP,143845,2521446600;2613365100;2596946000;2623998900;2614016300;2556974400;2596868500;2517125600;2581782500;2540409800,2577726150
MSRS,233572,36793500;36845700;38425400;37203700;34652600;35704300;34875500;36248300;35777600;34649700,36012650
MSIS,233572,19926100;20022000;20241200;20044800;19957800;19535400;19839300;19423800;19373200;19892700,19830237
MSRP,233572,12406800;17815800;26130000;12455000;22175500;15159200;13345600;12314600;14520300;28636500,16751025
MSIP,233572,4156269200;4080284700;3951908700;4067148500;4088176700;4131123000;4103930600;4128639200;4133771500;4075649600,4101090475
MSRS,379269,66732900;57833200;58205300;56737000;53902800;61494600;56828200;56761100;59686200;58020300,58195737
MSIS,379269,33724800;33674600;33118100;33643900;33441600;33277500;34754400;33344100;32735600;33225900,33431312
MSRP,379269,21780700;21545100;38859500;25563500;34895000;21481300;20412700;26939300;25869000;24874900,25368600
MSIP,379269,6736457800;6647366600;6599945100;6669866400;6746343300;6633502900;6675982200;6709130800;6739581000;6753849000,6694778875
MSRS,615848,104898500;94088300;90715600;93057500;89051300;94208500;92228900;100199500;91065500;92186000,93468725
MSIS,615848,56590000;56501500;56502100;56630900;58355400;58000800;56436400;57042000;57294900;56492700,56881862
MSRP,615848,30800500;27842900;44445700;45539800;37362300;39482200;41396500;41514800;59181100;34809700,39418937
MSIP,615848,10935753500;10733325600;10590078200;10334945700;10331239300;11417339600;12410084000;12273682200;12175907300;12588399100,11358889512
MSRS,1000000,157014300;159003400;153782300;148857500;148071200;150924500;148358900;148417100;150613500;148968600,150867087
MSIS,1000000,98482400;98792200;98501100;96974700;97569900;97347500;96428000;96840000;96839500;98026400,97572687
MSRP,1000000,44622000;39569800;43526200;58723400;46241600;38273300;65985900;41282800;45557500;36528100,44724575
MSIP,1000000,18815217900;18362376200;20266792700;20630015300;17832178200;17249311900;16968275000;19050843400;19583692200;18079935500,18655043500
