;10;841835;686200;3923600;3923600;1083900;1196300;1316100;1237900;904200;818800;1045200;836000;804500;831800;763000;918000;857600;889300;761000;829600;847800;762000;696000;799900;820900;698300;743300;823000;771400;834900;731900;886000;806800;815500;708200;737100;718600;689200;866000;827100;896700;741200;756500;899000;844200;873000;778700;866900;757600;721800;686200;810300;785100
;45;653604;516200;1110800;670000;1110800;732000;866000;761300;791900;786600;784800;645100;624700;696700;580200;649600;717600;679800;663900;634100;671900;694800;654800;792900;681100;590000;675700;608800;611600;676500;630800;585500;544300;551600;559000;574700;637200;602300;639800;560100;628400;641600;641500;583500;589600;610800;597700;678500;516200;632900;641700;721900;577200
;100;629164;524700;739700;531000;660600;583700;608800;632500;634200;639700;632700;625300;700600;651000;626800;578000;586200;657100;593600;587800;524700;635500;677200;660100;638600;638800;612300;618800;610600;525900;541500;688900;615200;592200;645400;650500;618900;567400;586800;665100;729300;624700;618900;626500;739700;731800;604200;692700;640200;638100;597300;675700;701200
;450;704370;531200;1145200;1020700;968100;901000;824700;983700;804800;808700;854700;886600;843400;809500;899800;817300;766400;674500;726600;664900;699100;720900;1145200;605500;628700;706800;747500;693500;627200;576100;644800;647600;594900;583500;567700;666600;574100;603700;577600;636300;652200;648600;589200;557300;638200;657500;565200;648400;531200;696400;621800;583200;594300
;1000;892856;599900;1338400;754800;916900;856200;934600;964100;991900;819300;862100;968200;1091300;726600;796600;1032700;896900;860600;790100;843600;813600;855400;840700;854900;928500;832700;930000;818200;747500;694900;791500;750600;1082000;954600;997200;937100;960400;1199500;917600;963600;964700;1023900;1338400;979000;787500;1074300;763300;960300;779900;844300;1015700;599900;687200
;4500;1762039;1550700;2366600;1755100;1551200;1663700;1602300;1633800;1650700;1683500;1617800;1724600;1700700;1731900;1596700;1564900;1697700;1737900;1677200;1696400;1731000;1556800;1568500;1569900;1725500;1595100;1656900;1650100;1550700;1594700;1605700;1707900;1589700;1679700;1627800;1659200;1618200;1704500;1708300;1660200;1689200;2094900;2157700;2133000;2337100;2196300;2301100;2215500;2366600;2172100;2060800;1698700;2025700
;10000;3203743;3007300;3617400;3305500;3353100;3127800;3240400;3354500;3014700;3007300;3377600;3080500;3176800;3110900;3057400;3050000;3032500;3332100;3261300;3015800;3347200;3024200;3329300;3138100;3419300;3133100;3100000;3617400;3274400;3041900;3118200;3300800;3287300;3127000;3123200;3368500;3330100;3350000;3013500;3032300;3374600;3085700;3293100;3146700;3060000;3331600;3355800;3190100;3240500;3259200;3089900;3515600;3087600
;45000;13042847;12094200;21722000;21722000;13152700;14192600;12094200;12131200;12420500;13224100;13503300;12188700;13651500;13586000;13684700;13647300;13667800;13732500;12354300;13602700;13409600;13782700;12227000;12131000;12141100;12255500;12144800;12241600;12242300;13599400;12281800;12283200;12261000;12390400;13610600;13594000;13600300;13665800;13670100;12535300;12620800;13626800;12299100;13597200;13679200;13479200;12430600;12538700;12323200;13385500;13704400;13691200;13873400
;100000;33803718;27073200;35128200;27073200;29809400;29928600;30176100;30179500;33372200;33334800;30013000;31001400;34131300;34420100;35128200;34009600;34570900;34173900;34529600;34660100;34604000;34521900;34835400;34330600;34575100;34928400;34266400;34421500;34315700;34205600;34462700;34484500;34156500;34189600;34915300;34056100;33966000;34551200;34188100;33832300;34676000;34152900;34326900;34637900;34276000;34020700;34235900;33969500;34268700;34186300;34415400;34411700;34883200
;450000;134608281;121696600;143516200;126212700;121696600;140552600;143409900;142066900;141100100;127840800;127275000;141657700;140987000;140632400;143516200;142303400;128485100;128281000;128449100;127457200;142004500;142200800;128225700;128493800;128133100;127403700;127692200;141327100;140498200;140965200;143444700;127742200;128546200;127695800;126773700;128770300;128931400;127689700;141042800;141316700;141144400;143250500;141635000;125992100;140504800;142383500;128538200;125193200;125710400;124377100;141355400;143224800;142279400
