;10;5077;1700;443300;443300;5600;3800;5100;3800;5100;5800;4500;2500;5400;3900;2900;3700;12100;7900;6200;20800;5400;3000;6100;5200;5400;5100;4400;7100;3200;2100;4900;4300;10500;4900;6900;6000;6100;6300;3600;3900;2900;2600;3100;4000;2800;3300;3900;3400;3400;1700;2400;3400;5000
;45;8083;3900;60300;5800;5500;5500;8200;5100;4600;4600;4900;6000;5200;4900;6500;6800;4300;5300;6200;6600;5200;5900;6000;6900;7100;6600;6300;6300;6200;7500;5500;8600;23500;6400;8100;9800;8800;6000;4800;6900;6300;60300;14900;16600;13400;21800;14300;15000;10900;5100;3900;4900;16400
;100;6083;3100;18600;9500;7400;6200;7400;6500;9400;6600;7700;6200;7800;7800;7900;18600;3700;6700;5200;6900;6400;6600;6200;5600;4100;3100;3500;7000;6300;5100;4800;6200;6800;5900;6500;7700;5300;5600;4300;5900;6200;4600;6100;4800;4600;5600;5500;6200;6400;6100;5000;3800;4400
;450;24033;17000;33700;22900;26500;22200;24600;24700;26200;25300;23300;24100;23400;23700;24500;24400;22700;24500;25200;30500;21200;20900;23700;25000;30300;24200;22300;23700;22100;33700;24400;22900;25100;23900;25300;24100;22400;20900;17000;24300;23800;24400;23600;21400;21900;25700;23200;24100;25700;21800;24600;22300;25700
;1000;53639;42700;70900;59700;51900;53300;52800;70900;50400;69300;56800;58600;53400;51300;50200;49800;51800;50100;54600;54300;46500;42700;52200;50600;53200;52900;52500;52500;56700;53900;51200;53600;58600;68000;54100;54100;54300;53200;50700;50200;55800;50700;56200;50600;48500;53400;50600;52800;53300;55100;55300;53300;51800
;4500;275110;257900;301900;279400;274900;274800;272200;284500;277300;276900;278400;271900;285300;280000;268400;284400;279700;278700;270100;267500;285400;277000;271900;275100;274500;271700;278800;274300;277400;277600;278700;280500;275600;277000;284800;294800;287600;288100;279800;272500;266400;267500;269600;301900;277200;264600;267300;260300;258500;257900;261900;261000;263500
;10000;635981;606600;663300;639400;627800;619300;631900;618600;606600;607600;607800;639500;635800;625700;623700;637600;639100;637400;644900;640300;635200;643300;646600;661200;643300;641800;638100;642700;641800;643700;613700;630100;642900;633500;636200;640100;663300;637500;638000;650600;648000;624300;633600;637500;638400;647400;636700;644400;638800;637900;634800;634000;634600
;45000;3067068;2970700;3163800;3081500;3063500;3070100;3108400;3063200;3035600;3132800;3058900;3052000;3048200;3056700;3081300;3047700;3000800;2970700;3064200;3019100;3064500;3110500;3067200;3032800;3018300;3056600;3050700;3044400;3078100;3089900;3069700;3051500;3059700;3031300;3064700;3010600;3003000;3012100;3017600;2978400;3016100;3120400;3101800;3061900;3100300;3126100;3126200;3148100;3150900;3102400;3163800;3113000;3156500
;100000;6855085;6770200;7099700;6894400;7099700;6891700;6865600;6839300;6826100;6859700;6859800;6856900;6809300;6778900;6852200;6775700;6778300;6790600;6770200;6815200;6875300;6911100;6957600;7023100;6851600;6868600;6893800;6932000;6850300;6876600;6924600;6904400;6864700;6890400;6843300;6846500;6840100;6825100;6781300;6783300;6813000;6926400;6896000;6812700;6820300;6810900;6911900;6775200;6955000;6789700;6825000;6794000;6876600
;450000;32441360;32155300;33496700;32482000;32661400;32554100;32461600;32756300;32454800;32445800;32465300;32219200;32606700;32376500;32431500;32321300;32364000;32241100;32449500;32420700;32155300;32367600;33002000;32268700;32713300;32705200;32319800;32841200;32261300;32449600;32447500;32550100;32353200;32236900;32434500;32224300;32310400;32428600;32290500;32479300;32439100;32475000;32424700;32421700;32177800;32354900;32390900;32270500;32358700;32409500;33496700;32674400;32392300
;1000000;74761050;74080400;77710000;75060900;74298400;75791800;74851300;74729800;75002900;75121800;75233500;74810300;75448600;76280500;75077800;74814200;74554600;74675400;75203000;74592200;74546600;74423400;74958600;77032000;75084500;74586700;74603300;74593300;74673600;74608500;74856600;74932200;74430400;74415000;74211500;74504200;74363200;74359700;74822000;74343200;77710000;74389500;74461300;74715600;74262200;74336800;74257800;74125900;74341300;74080400;74894300;74423300;74426900
;4500000;354405025;350929700;369280200;352737800;352290400;353698100;352254700;352076600;354581300;353137100;351453600;352198100;351393400;350929700;352075700;351767300;354044800;354484700;353078200;353357300;353246400;354160000;354466800;351208100;353463800;354750900;352324600;353917600;359032600;354115900;351856400;353633900;353575600;354232200;356489200;354761800;353981200;352675900;353577100;354838900;353731100;355292500;360230600;369280200;353738000;364598700;359922300;356522300;354299100;354402200;354258700;353965200;365542500
;10000000;804113210;797990500;827321500;805194900;816335600;827321500;805785600;806090000;827248700;802628000;799862500;805646800;805988600;799550700;803930700;806271800;807186000;798335000;799689200;801496200;802800500;803468100;799302400;797990500;804895000;802706600;802687900;806137800;799498300;805717200;806376300;803920000;803091900;799707100;801934900;802513000;804586400;799809800;804135900;799876100;801073200;803223700;805265400;806044900;806563900;803890900;802226500;807543400;804823500;801105200;800400200;805871700;804996100
;45000000;3825092966;3779718000;3936631600;3805206300;3843511100;3793804600;3852212800;3794190300;3846010000;3792359000;3857452500;3795830500;3847295500;3788085400;3849659000;3779718000;3841964000;3785515300;3850345700;3797706800;3850684300;3793804800;3846305900;3788999100;3843805600;3799969900;3856751800;3793787000;3847260700;3791416000;3851602900;3782477000;3849976100;3812392300;3875261200;3812762200;3936631600;3804188700;3848661600;3795927400;3864928800;3788377900;3853743100;3807972900;3854537800;3799984000;3874337300;3803416000;3847843400;3794718900;3858112300;3788707600;3880599100
